County FIPS Code,State Name,County Name,0-17 ,18-25,26-34,35-44,45-54,55-64,65+,Unknown,Total Plan Selections
2013,AK,Aleutians East Borough,.,0,.,.,.,12,0,0,29
2016,AK,Aleutians West Census Area,.,.,.,.,14,.,.,0,34
2020,AK,Anchorage Municipality,869,864,1879,1393,1666,2010,67,0,8748
2050,AK,Bethel Census Area,.,.,13,15,16,24,0,0,83
2060,AK,Bristol Bay Borough,.,.,.,.,.,.,0,.,29
2068,AK,Denali Borough,.,.,41,31,25,51,0,0,163
2070,AK,Dillingham Census Area,.,.,.,.,11,13,0,0,39
2090,AK,Fairbanks North Star Borough,246,.,521,328,386,447,.,0,2114
2100,AK,Haines Borough,26,.,42,48,58,80,.,0,266
2105,AK,Hoonah-Angoon Census Area,.,.,15,15,33,40,0,0,119
2110,AK,Juneau City and Borough,133,.,298,176,182,179,.,0,1078
2122,AK,Kenai Peninsula Borough,212,164,467,340,508,829,.,.,2528
2130,AK,Ketchikan Gateway Borough,64,.,73,76,106,151,.,0,501
2150,AK,Kodiak Island Borough,85,70,91,116,139,191,14,0,706
2164,AK,Lake and Peninsula Borough,.,0,.,.,.,18,0,0,36
2170,AK,Matanuska-Susitna Borough,382,.,463,462,589,816,.,0,2934
2180,AK,Nome Census Area,.,.,15,.,12,14,0,0,61
2185,AK,North Slope Borough,.,.,.,11,.,.,0,0,35
2188,AK,Northwest Arctic Borough,0,0,.,.,.,.,0,0,15
2195,AK,Petersburg Census Area,30,15,39,33,33,61,0,0,211
2198,AK,Prince of Wales-Hyder Census Area,.,.,13,.,24,44,0,0,102
2220,AK,Sitka City and Borough,45,.,93,86,100,127,.,0,477
2230,AK,Skagway Municipality,.,.,41,49,31,17,0,0,161
2240,AK,Southeast Fairbanks Census Area,.,22,20,.,27,64,0,0,153
2261,AK,Valdez-Cordova Census Area,41,.,87,67,92,145,.,0,462
2270,AK,Wade Hampton Census Area,0,.,.,.,.,.,.,0,19
2275,AK,Wrangell City and Borough,.,.,11,.,16,37,0,0,82
2282,AK,Yakutat City and Borough,0,0,0,.,.,.,0,0,12
2290,AK,Yukon-Koyukuk Census Area,.,.,.,.,12,34,0,0,59
1001,AL,Autauga County,.,251,333,382,348,327,.,0,1736
12109,FL,St. Johns County,1259,1093,1566,1684,2354,2963,41,0,10960
1003,AL,Baldwin County,486,1099,1652,1776,2174,2474,.,.,9684
1005,AL,Barbour County,.,88,127,151,183,238,.,0,805
1007,AL,Bibb County,18,72,93,117,117,140,0,0,557
1009,AL,Blount County,.,197,257,322,429,549,.,0,1832
1011,AL,Bullock County,.,50,57,37,68,74,.,0,292
1013,AL,Butler County,15,92,123,142,149,193,0,0,714
1015,AL,Calhoun County,99,450,646,654,803,861,.,.,3525
1017,AL,Chambers County,.,129,138,183,209,334,.,0,1013
1019,AL,Cherokee County,18,78,89,121,188,265,0,0,759
1021,AL,Chilton County,.,195,261,327,388,475,.,0,1726
1023,AL,Choctaw County,.,83,69,108,141,155,.,0,573
1025,AL,Clarke County,.,142,175,171,233,261,.,0,1001
1027,AL,Clay County,.,42,57,78,100,135,.,0,423
1029,AL,Cleburne County,.,53,83,93,132,126,.,0,516
1031,AL,Coffee County,.,169,230,251,284,340,.,0,1311
1033,AL,Colbert County,.,170,295,340,425,520,.,0,1811
1035,AL,Conecuh County,.,81,59,101,130,180,.,0,559
1037,AL,Coosa County,.,34,.,53,94,138,.,0,363
1039,AL,Covington County,.,137,186,209,306,363,.,0,1239
1041,AL,Crenshaw County,.,49,73,85,108,152,.,0,482
1043,AL,Cullman County,.,342,476,498,669,741,.,0,2805
1045,AL,Dale County,.,153,226,247,269,364,.,0,1293
1047,AL,Dallas County,.,219,258,304,297,409,.,0,1522
1049,AL,DeKalb County,.,296,360,505,647,809,.,0,2692
1051,AL,Elmore County,.,278,507,479,468,542,.,0,2378
1053,AL,Escambia County,.,116,151,188,211,312,.,0,1016
1055,AL,Etowah County,112,475,740,806,932,947,12,0,4024
1057,AL,Fayette County,12,44,58,91,114,155,0,0,474
1059,AL,Franklin County,.,79,130,178,211,264,.,0,900
1061,AL,Geneva County,.,85,131,139,230,283,.,0,898
1063,AL,Greene County,.,48,.,46,66,107,0,0,311
1065,AL,Hale County,.,59,106,84,116,128,.,0,505
1067,AL,Henry County,.,76,109,129,131,193,.,0,668
1069,AL,Houston County,134,433,666,707,876,959,.,.,3787
1071,AL,Jackson County,.,187,267,359,437,515,.,0,1842
1073,AL,Jefferson County,856,3106,5113,4511,4781,5438,87,0,23892
1075,AL,Lamar County,.,56,47,71,99,161,.,0,442
1077,AL,Lauderdale County,.,398,606,539,754,914,.,0,3319
1079,AL,Lawrence County,.,118,199,203,315,412,.,0,1276
1081,AL,Lee County,219,769,1184,924,870,850,16,0,4832
1083,AL,Limestone County,.,290,560,557,650,678,.,0,2840
1085,AL,Lowndes County,.,.,68,64,122,131,0,0,450
1087,AL,Macon County,.,70,137,121,152,200,.,0,695
1089,AL,Madison County,482,1631,2993,2487,2886,2857,56,0,13392
1091,AL,Marengo County,.,99,101,125,166,201,.,0,706
1093,AL,Marion County,15,98,158,179,225,261,0,0,936
1095,AL,Marshall County,.,353,519,600,754,894,.,0,3234
1097,AL,Mobile County,603,2525,3419,3337,3798,4316,45,0,18043
1099,AL,Monroe County,.,119,137,176,228,257,.,0,931
1101,AL,Montgomery County,251,1284,1943,1683,1580,1584,33,0,8358
1103,AL,Morgan County,135,496,791,772,1057,1046,12,0,4309
1105,AL,Perry County,.,52,50,68,63,85,.,0,323
1107,AL,Pickens County,.,65,78,84,140,158,.,0,542
1109,AL,Pike County,.,146,165,167,178,195,.,0,873
1111,AL,Randolph County,.,85,127,130,148,237,.,0,750
1113,AL,Russell County,.,225,306,305,369,517,.,0,1767
1115,AL,St. Clair County,.,258,536,506,621,718,.,0,2763
1117,AL,Shelby County,467,930,1461,1361,1464,1535,30,0,7248
1119,AL,Sumter County,.,88,63,82,109,134,.,0,483
1121,AL,Talladega County,.,263,349,456,535,673,.,0,2330
1123,AL,Tallapoosa County,.,202,210,255,314,434,.,0,1452
1125,AL,Tuscaloosa County,217,856,1356,974,1034,1082,15,0,5534
1127,AL,Walker County,41,277,340,376,471,516,0,0,2021
1129,AL,Washington County,.,67,71,90,153,146,.,0,533
1131,AL,Wilcox County,.,.,65,81,99,98,0,0,409
1133,AL,Winston County,.,111,114,150,255,250,.,0,902
5001,AR,Arkansas County,.,36,62,59,106,156,.,0,441
5003,AR,Ashley County,.,39,59,90,146,198,.,0,562
5005,AR,Baxter County,.,69,142,173,225,509,.,0,1180
5007,AR,Benton County,665,546,1035,1050,1141,1499,44,0,5980
5009,AR,Boone County,71,.,131,170,224,352,.,0,1020
5011,AR,Bradley County,.,.,20,32,66,87,0,0,230
5013,AR,Calhoun County,.,.,.,13,16,43,.,0,91
5015,AR,Carroll County,74,.,109,113,183,377,.,0,922
5017,AR,Chicot County,.,.,26,34,55,102,0,0,246
5019,AR,Clark County,.,41,68,76,93,136,.,0,440
5021,AR,Clay County,.,27,37,47,85,107,.,0,330
5023,AR,Cleburne County,.,47,109,95,156,247,.,0,699
