County FIPS Code,State Name,County Name,American Indian/ Alaska Native,Asian,Black,Latino,Native Hawaiian/ Pacific Islander,Multiracial,White,Unknown ,Total Plan Selections
2013,AK,Aleutians East Borough,.,.,0,.,0,0,.,.,29
2016,AK,Aleutians West Census Area,.,.,.,0,0,0,18,.,34
2020,AK,Anchorage Municipality,267,827,283,353,56,216,4311,2435,8748
2050,AK,Bethel Census Area,31,.,.,.,0,.,29,.,83
2060,AK,Bristol Bay Borough,.,.,0,0,0,.,18,.,29
2068,AK,Denali Borough,.,0,.,.,0,.,126,30,163
2070,AK,Dillingham Census Area,.,.,0,.,0,0,14,12,39
2090,AK,Fairbanks North Star Borough,.,98,31,44,.,42,1397,471,2114
2100,AK,Haines Borough,.,.,0,.,0,.,196,57,266
2105,AK,Hoonah-Angoon Census Area,13,0,.,0,0,.,89,15,119
2110,AK,Juneau City and Borough,33,62,.,38,.,26,678,219,1078
2122,AK,Kenai Peninsula Borough,75,44,.,35,.,42,1699,629,2528
2130,AK,Ketchikan Gateway Borough,21,56,.,.,0,16,306,87,501
2150,AK,Kodiak Island Borough,13,321,0,13,.,.,198,147,706
2164,AK,Lake and Peninsula Borough,.,0,0,0,0,0,.,14,36
2170,AK,Matanuska-Susitna Borough,49,64,.,46,.,65,2046,643,2934
2180,AK,Nome Census Area,24,.,0,0,.,0,23,.,61
2185,AK,North Slope Borough,16,.,0,0,0,0,.,.,35
2188,AK,Northwest Arctic Borough,.,.,0,0,0,.,.,.,15
2195,AK,Petersburg Census Area,.,.,.,.,0,.,145,44,211
2198,AK,Prince of Wales-Hyder Census Area,.,.,0,0,0,0,62,23,102
2220,AK,Sitka City and Borough,30,20,.,22,.,11,302,86,477
2230,AK,Skagway Municipality,0,.,0,0,0,.,125,31,161
2240,AK,Southeast Fairbanks Census Area,.,0,0,.,0,.,65,80,153
2261,AK,Valdez-Cordova Census Area,11,55,.,.,0,11,276,103,462
2270,AK,Wade Hampton Census Area,11,0,0,0,0,0,.,.,19
2275,AK,Wrangell City and Borough,.,0,0,.,0,.,70,.,82
2282,AK,Yakutat City and Borough,.,0,.,.,0,0,.,.,12
2290,AK,Yukon-Koyukuk Census Area,13,.,0,0,0,.,24,17,59
1001,AL,Autauga County,.,81,264,23,.,13,811,541,1736
1003,AL,Baldwin County,.,159,631,107,.,102,6141,2513,9684
1005,AL,Barbour County,.,21,240,.,0,.,268,266,805
1007,AL,Bibb County,.,.,68,.,0,.,294,190,557
1009,AL,Blount County,.,16,.,63,.,.,1135,599,1832
1011,AL,Bullock County,0,.,160,0,0,0,.,96,292
1013,AL,Butler County,0,28,190,0,0,0,266,230,714
1015,AL,Calhoun County,.,140,410,45,.,37,1846,1036,3525
1017,AL,Chambers County,.,22,289,.,0,.,374,320,1013
1019,AL,Cherokee County,0,.,16,.,0,.,519,212,759
1021,AL,Chilton County,.,31,99,27,0,.,1039,517,1726
1023,AL,Choctaw County,0,.,155,0,0,.,219,192,573
1025,AL,Clarke County,0,.,361,.,.,.,267,350,1001
1027,AL,Clay County,.,.,26,.,0,.,265,123,423
1029,AL,Cleburne County,0,.,.,.,0,0,326,174,516
1031,AL,Coffee County,.,81,157,23,.,25,658,357,1311
1033,AL,Colbert County,.,61,193,.,0,18,1062,464,1811
1035,AL,Conecuh County,.,.,142,0,0,.,211,197,559
1037,AL,Coosa County,.,.,89,.,0,.,160,109,363
1039,AL,Covington County,.,38,95,.,0,.,699,387,1239
1041,AL,Crenshaw County,.,.,98,.,0,.,236,133,482
1043,AL,Cullman County,.,45,15,37,.,19,1895,779,2805
1045,AL,Dale County,0,42,165,16,.,.,653,404,1293
1047,AL,Dallas County,.,37,708,.,.,.,256,511,1522
1049,AL,DeKalb County,.,31,30,60,.,44,1754,752,2692
1051,AL,Elmore County,.,65,325,16,0,.,1205,746,2378
1053,AL,Escambia County,.,13,192,.,0,.,444,338,1016
1055,AL,Etowah County,.,180,449,34,0,.,2092,1242,4024
1057,AL,Fayette County,.,.,37,.,0,.,273,158,474
1059,AL,Franklin County,.,13,35,31,0,.,560,253,900
1061,AL,Geneva County,.,14,36,12,0,.,544,281,898
1063,AL,Greene County,0,.,163,0,0,.,37,106,311
31149,NE,Rock County,0,0,0,0,0,0,107,14,121
1065,AL,Hale County,0,.,190,.,0,.,155,142,505
1067,AL,Henry County,.,.,108,.,.,.,333,209,668
1069,AL,Houston County,.,149,549,51,0,.,1852,1141,3787
1071,AL,Jackson County,23,29,34,30,0,27,1187,512,1842
1073,AL,Jefferson County,.,1142,7143,190,.,172,7773,7441,23892
1075,AL,Lamar County,0,0,.,0,0,.,281,133,442
1077,AL,Lauderdale County,11,61,192,42,0,19,2111,883,3319
1079,AL,Lawrence County,38,.,102,.,.,51,614,450,1276
1081,AL,Lee County,.,297,1030,65,.,47,2159,1226,4832
1083,AL,Limestone County,.,78,230,75,.,32,1611,806,2840
1085,AL,Lowndes County,0,0,201,.,0,0,.,188,450
1087,AL,Macon County,0,.,363,.,0,.,91,231,695
1089,AL,Madison County,.,794,2689,205,.,189,5871,3586,13392
1091,AL,Marengo County,0,.,257,.,0,0,191,245,706
1093,AL,Marion County,0,21,.,.,0,.,645,256,936
1095,AL,Marshall County,.,110,34,39,.,39,1981,1015,3234
1097,AL,Mobile County,65,1108,4845,139,11,152,6128,5595,18043
1099,AL,Monroe County,0,16,357,.,0,.,325,227,931
1101,AL,Montgomery County,.,585,3177,.,0,61,1678,2810,8358
1103,AL,Morgan County,.,115,436,70,.,32,2481,1148,4309
1105,AL,Perry County,0,.,165,.,0,.,46,109,323
1107,AL,Pickens County,0,.,158,0,0,.,170,192,542
1109,AL,Pike County,.,30,226,.,0,.,322,278,873
1111,AL,Randolph County,0,.,64,.,0,.,439,230,750
1113,AL,Russell County,.,21,551,22,.,13,560,596,1767
1115,AL,St. Clair County,.,102,124,28,.,18,1620,865,2763
1117,AL,Shelby County,.,518,662,156,.,68,3909,1928,7248
1119,AL,Sumter County,0,11,242,.,0,.,44,180,483
1121,AL,Talladega County,.,54,436,.,0,12,1040,771,2330
1123,AL,Tallapoosa County,0,24,266,.,0,.,712,429,1452
1125,AL,Tuscaloosa County,15,240,1375,78,0,51,2283,1492,5534
1127,AL,Walker County,.,41,95,.,0,16,1185,667,2021
1129,AL,Washington County,12,.,114,.,0,.,212,189,533
1131,AL,Wilcox County,.,.,186,0,0,0,92,124,409
1133,AL,Winston County,.,11,.,.,0,.,630,249,902
5001,AR,Arkansas County,.,14,40,0,0,.,284,101,441
5003,AR,Ashley County,0,0,73,.,0,.,196,269,562
5005,AR,Baxter County,.,12,.,.,.,16,928,209,1180
5007,AR,Benton County,67,180,.,419,.,102,3849,1316,5980
5009,AR,Boone County,.,.,.,.,.,.,843,155,1020
5011,AR,Bradley County,.,.,22,11,0,0,148,43,230
5013,AR,Calhoun County,0,0,.,0,0,0,65,.,91
5015,AR,Carroll County,.,.,0,15,0,.,754,129,922
5017,AR,Chicot County,0,0,90,.,0,.,79,69,246
5019,AR,Clark County,0,.,42,15,0,.,279,88,440
5021,AR,Clay County,0,0,0,.,0,.,275,52,330
5023,AR,Cleburne County,.,.,0,.,0,.,517,165,699
5025,AR,Cleveland County,0,0,.,.,0,0,118,33,164
5027,AR,Columbia County,.,.,80,.,0,0,210,63,371
5029,AR,Conway County,.,11,37,.,0,.,289,130,478
5031,AR,Craighead County,.,31,139,33,.,25,1489,397,2123
5033,AR,Crawford County,.,26,11,19,.,23,853,257,1201
5035,AR,Crittenden County,.,25,296,15,0,.,378,310,1036
5037,AR,Cross County,0,11,72,.,0,.,243,61,395
5039,AR,Dallas County,0,.,39,.,0,0,61,27,138
5041,AR,Desha County,0,.,100,.,0,.,134,93,341
5043,AR,Drew County,0,11,89,.,0,.,272,137,522
5045,AR,Faulkner County,.,69,226,57,0,.,1813,548,2740
5047,AR,Franklin County,.,.,0,0,0,.,243,41,294
5049,AR,Fulton County,0,.,0,0,0,.,162,53,218
5051,AR,Garland County,.,67,115,55,0,.,2043,643,2956
5053,AR,Grant County,.,.,.,.,0,.,315,80,411
5055,AR,Greene County,.,.,0,.,0,12,656,139,816
5057,AR,Hempstead County,0,.,46,.,0,.,212,73,345
47113,TN,Madison County,0,99,943,22,0,32,1063,1170,3329
5059,AR,Hot Spring County,.,.,37,12,.,.,551,148,764
5061,AR,Howard County,.,0,22,.,0,.,205,31,263
5063,AR,Independence County,.,11,.,.,0,.,656,137,820
5065,AR,Izard County,0,.,.,0,0,0,194,46,244
5067,AR,Jackson County,.,.,18,.,0,.,231,68,328
5069,AR,Jefferson County,.,48,389,.,.,17,480,291,1235
5071,AR,Johnson County,.,.,.,15,0,.,296,114,444
5073,AR,Lafayette County,0,.,21,.,0,.,88,26,140
5075,AR,Lawrence County,0,0,.,0,0,0,289,.,349
5077,AR,Lee County,0,.,52,0,0,.,79,49,184
5079,AR,Lincoln County,.,.,23,.,.,.,129,98,260
5081,AR,Little River County,.,.,25,.,0,.,144,55,239
5083,AR,Logan County,.,.,.,.,0,.,269,116,404
5085,AR,Lonoke County,.,53,57,27,0,.,926,266,1348
5087,AR,Madison County,.,.,0,.,0,.,324,71,420
5089,AR,Marion County,.,0,0,.,0,.,324,78,408
5091,AR,Miller County,.,15,100,16,.,11,503,173,828
5093,AR,Mississippi County,0,21,122,.,0,.,380,234,776
5095,AR,Monroe County,0,.,38,.,0,.,107,29,182
5097,AR,Montgomery County,.,0,.,.,0,.,206,72,284
5099,AR,Nevada County,0,.,29,.,0,.,82,41,156
5101,AR,Newton County,.,0,0,.,.,.,216,26,247
5103,AR,Ouachita County,0,.,101,.,0,.,296,72,474
5105,AR,Perry County,.,0,.,0,0,.,200,48,255
5107,AR,Phillips County,0,13,150,.,0,.,145,95,409
5109,AR,Pike County,.,.,.,.,0,.,210,56,279
5111,AR,Poinsett County,.,.,20,.,0,.,323,119,480
5113,AR,Polk County,.,.,0,.,0,.,334,72,427
5115,AR,Pope County,.,40,16,28,.,14,933,216,1254
5117,AR,Prairie County,0,.,.,0,0,.,126,34,172
5119,AR,Pulaski County,.,549,1922,177,.,90,3982,2009,8762
5121,AR,Randolph County,.,.,.,.,0,.,348,71,428
5123,AR,St. Francis County,0,.,114,.,0,.,161,113,401
5125,AR,Saline County,.,55,79,53,0,.,1687,469,2371
5127,AR,Scott County,0,.,0,0,0,0,98,.,139
5129,AR,Searcy County,.,0,0,0,0,.,148,52,204
5131,AR,Sebastian County,.,148,81,102,.,41,1442,565,2411
5133,AR,Sevier County,.,.,.,18,0,.,176,65,276
5135,AR,Sharp County,.,.,0,.,0,0,331,70,409
5137,AR,Stone County,.,.,0,.,0,.,250,56,311
5139,AR,Union County,0,16,174,.,0,.,449,213,863
5141,AR,Van Buren County,0,.,.,.,0,.,318,98,430
5143,AR,Washington County,63,143,116,312,28,103,3651,1295,5711
5145,AR,White County,.,23,33,23,.,.,1189,343,1626
5147,AR,Woodruff County,0,0,.,.,0,0,90,70,179
5149,AR,Yell County,.,.,.,15,0,.,300,72,392
4001,AZ,Apache County,42,.,.,32,0,.,221,139,453
4003,AZ,Cochise County,.,116,51,761,.,58,1391,837,3239
4005,AZ,Coconino County,91,76,.,263,.,57,2047,1090,3649
4007,AZ,Gila County,.,44,.,115,0,20,838,301,1338
4009,AZ,Graham County,16,.,.,169,0,.,462,161,822
4011,AZ,Greenlee County,.,0,.,26,0,0,40,44,113
4012,AZ,La Paz County,0,.,.,71,0,.,134,99,321
4013,AZ,Maricopa County,447,7346,4147,20658,180,2049,56322,38390,129539
4015,AZ,Mohave County,.,107,27,564,.,59,3615,1797,6195
4017,AZ,Navajo County,48,45,.,120,.,25,1155,562,1963
4019,AZ,Pima County,115,1199,611,7244,35,546,13353,8657,31760
4021,AZ,Pinal County,156,242,313,1727,12,168,4892,2973,10483
4023,AZ,Santa Cruz County,.,33,.,1596,.,.,229,466,2329
4025,AZ,Yavapai County,34,120,36,572,11,111,5637,2525,9046
4027,AZ,Yuma County,.,109,27,2162,.,37,738,1318,4403
10001,DE,Kent County,.,172,425,89,.,45,1577,1097,3417
10003,DE,New Castle County,.,1173,2054,848,.,154,6925,3800,14967
10005,DE,Sussex County,.,139,312,112,.,57,3940,2073,6651
12001,FL,Alachua County,.,670,1122,418,.,119,5094,5280,12719
12003,FL,Baker County,.,12,59,.,0,.,426,329,837
12005,FL,Bay County,.,411,500,164,.,103,4188,3632,9030
12007,FL,Bradford County,.,16,85,.,0,.,404,467,990
12009,FL,Brevard County,45,1191,1627,1114,14,308,14540,11525,30364
12011,FL,Broward County,105,6943,40660,10915,206,989,46885,115507,222210
12013,FL,Calhoun County,.,0,13,.,.,.,214,197,439
12015,FL,Charlotte County,.,244,334,313,.,67,5073,3495,9548
12017,FL,Citrus County,.,148,69,123,.,51,3715,3980,8101
12019,FL,Clay County,.,337,560,275,.,103,3751,3659,8710
12021,FL,Collier County,.,449,1539,2916,.,103,8127,10122,23284
12023,FL,Columbia County,.,78,162,53,0,.,1076,1370,2761
12027,FL,DeSoto County,0,22,59,199,.,.,442,438,1164
12029,FL,Dixie County,.,.,.,.,0,.,266,224,506
12031,FL,Duval County,76,2641,9706,1954,45,487,15807,24317,55033
12033,FL,Escambia County,.,525,1238,157,.,137,4845,4407,11359
12035,FL,Flagler County,.,167,344,284,.,46,3123,2611,6580
12037,FL,Franklin County,0,.,30,.,0,.,373,245,662
12039,FL,Gadsden County,.,22,548,87,.,12,347,980,2000
12041,FL,Gilchrist County,.,.,.,.,0,.,329,258,608
12043,FL,Glades County,0,.,.,34,0,.,142,198,385
12045,FL,Gulf County,.,.,41,.,0,14,346,262,671
12047,FL,Hamilton County,.,11,51,.,0,.,150,233,456
12049,FL,Hardee County,.,.,38,255,0,0,262,524,1088
12051,FL,Hendry County,.,25,61,422,.,0,318,1158,1986
12053,FL,Hernando County,.,221,188,518,.,58,4732,4134,9870
12055,FL,Highlands County,.,98,249,426,.,22,1825,1725,4352
12057,FL,Hillsborough County,82,4053,5475,10555,60,640,22363,34028,77256
12059,FL,Holmes County,.,17,.,.,.,.,307,335,676
12061,FL,Indian River County,.,235,439,376,.,33,3865,3515,8473
12063,FL,Jackson County,.,34,178,22,0,.,641,744,1630
12065,FL,Jefferson County,.,.,89,20,0,.,220,274,614
12067,FL,Lafayette County,.,.,.,14,0,.,178,88,287
12069,FL,Lake County,29,679,947,1279,14,118,8283,6790,18139
12071,FL,Lee County,44,1193,1996,3436,18,246,15956,18732,41621
12073,FL,Leon County,.,572,1929,241,.,100,3859,4353,11073
12075,FL,Levy County,0,.,88,71,0,.,885,858,1923
12077,FL,Liberty County,.,.,12,.,.,.,112,59,193
12079,FL,Madison County,0,.,127,.,0,.,261,364,766
12081,FL,Manatee County,.,638,675,819,.,106,8296,7955,18520
12083,FL,Marion County,28,579,1017,1122,15,99,7991,6875,17726
12085,FL,Martin County,15,206,275,292,14,44,4548,4798,10192
12086,FL,Miami-Dade County,56,3660,25754,77593,109,655,48700,235915,392442
12087,FL,Monroe County,.,108,155,626,.,55,3402,2619,6971
12089,FL,Nassau County,.,49,177,74,.,22,1922,1436,3695
12091,FL,Okaloosa County,19,330,381,163,13,128,3473,2800,7307
12093,FL,Okeechobee County,.,31,50,201,0,.,596,618,1502
12095,FL,Orange County,82,7486,12045,13464,134,731,27313,47330,108585
12097,FL,Osceola County,25,1031,1533,7474,38,133,7397,14952,32583
12099,FL,Palm Beach County,72,4060,17826,8023,118,694,36549,69626,136968
12101,FL,Pasco County,.,1017,660,1432,.,186,12571,13546,29467
12103,FL,Pinellas County,85,3217,2698,2015,42,479,28418,21642,58596
12105,FL,Polk County,28,1185,2435,3867,19,133,11122,16028,34817
12107,FL,Putnam County,.,57,294,145,.,19,1514,1334,3370
12109,FL,St. Johns County,.,371,272,219,.,121,5954,4002,10960
12111,FL,St. Lucie County,36,563,2628,1353,22,146,7061,10586,22395
12113,FL,Santa Rosa County,.,173,120,80,.,86,3056,2271,5804
12115,FL,Sarasota County,.,724,546,808,.,175,13372,10157,25819
12117,FL,Seminole County,39,1771,2088,3013,25,298,13402,13435,34071
12119,FL,Sumter County,.,74,106,78,.,14,1943,1212,3433
12121,FL,Suwannee County,.,28,82,79,0,.,740,801,1742
12123,FL,Taylor County,.,37,34,.,0,.,278,256,616
12125,FL,Union County,.,.,20,.,0,0,159,146,328
12127,FL,Volusia County,56,1090,1855,2013,12,266,16451,12841,34584
12129,FL,Wakulla County,.,16,49,.,0,11,511,383,982
12131,FL,Walton County,12,83,67,49,0,26,2054,1260,3551
12133,FL,Washington County,.,23,74,.,0,.,404,337,857
13001,GA,Appling County,0,.,67,.,0,0,220,253,579
13003,GA,Atkinson County,0,.,13,41,0,.,68,97,222
13005,GA,Bacon County,0,13,16,.,0,.,116,138,291
13007,GA,Baker County,0,0,.,0,0,.,45,42,112
13009,GA,Baldwin County,.,92,378,.,.,.,311,480,1278
13011,GA,Banks County,0,42,.,12,0,.,466,314,850
13013,GA,Barrow County,.,114,253,121,.,31,1345,1114,2982
13015,GA,Bartow County,.,215,281,99,0,.,2004,1645,4290
13017,GA,Ben Hill County,.,25,83,.,0,0,153,231,507
13019,GA,Berrien County,0,.,18,.,0,.,257,193,484
13021,GA,Bibb County,.,504,2235,52,.,37,1372,2764,6972
13023,GA,Bleckley County,0,22,59,.,0,.,133,159,375
13025,GA,Brantley County,0,.,15,.,0,.,412,291,730
13027,GA,Brooks County,0,16,113,11,.,.,167,259,569
13029,GA,Bryan County,.,131,132,27,0,.,922,716,1948
13031,GA,Bulloch County,.,108,539,34,.,21,1633,1403,3742
13033,GA,Burke County,.,11,491,24,.,.,297,449,1280
13035,GA,Butts County,.,16,151,11,0,.,413,406,999
13037,GA,Calhoun County,0,.,50,.,0,0,49,94,202
13039,GA,Camden County,.,93,310,41,.,24,920,730,2127
13043,GA,Candler County,0,16,85,.,0,.,450,195,761
13045,GA,Carroll County,.,177,672,94,0,.,2602,2240,5834
13047,GA,Catoosa County,.,133,29,24,0,.,1358,755,2316
13049,GA,Charlton County,0,.,37,0,0,.,110,147,308
13051,GA,Chatham County,19,974,4717,322,11,159,5575,7495,19272
13053,GA,Chattahoochee County,0,.,22,.,0,.,34,56,122
13055,GA,Chattooga County,0,33,18,.,0,.,479,298,837
13057,GA,Cherokee County,.,518,615,462,.,142,6367,4122,12251
13059,GA,Clarke County,.,167,687,94,.,63,2065,1309,4393
13061,GA,Clay County,0,.,33,0,0,.,23,73,135
13063,GA,Clayton County,.,2824,9128,659,.,156,991,8310,22093
51810,VA,Virginia Beach city,39,1988,2177,488,15,398,8246,5883,19234
13065,GA,Clinch County,0,.,24,0,0,.,55,79,164
13067,GA,Cobb County,48,3600,9117,1632,25,498,13030,16266,44216
13069,GA,Coffee County,.,43,136,82,0,.,419,532,1218
13071,GA,Colquitt County,0,84,220,73,.,.,565,1467,2412
13073,GA,Columbia County,.,630,555,117,.,54,2362,1969,5700
13075,GA,Cook County,0,.,94,.,0,.,193,252,556
13077,GA,Coweta County,.,278,811,142,.,42,2619,2150,6059
13079,GA,Crawford County,0,.,72,11,0,.,271,241,599
13081,GA,Crisp County,0,38,258,.,0,.,264,354,919
13083,GA,Dade County,.,.,.,.,.,.,373,248,641
13085,GA,Dawson County,.,28,.,21,0,11,778,413,1257
13087,GA,Decatur County,.,45,319,34,0,.,415,484,1302
13089,GA,DeKalb County,32,4158,18714,987,22,473,8311,18819,51516
13091,GA,Dodge County,0,33,132,.,.,.,267,288,729
13093,GA,Dooly County,0,34,81,.,0,.,83,159,367
13095,GA,Dougherty County,.,93,1059,.,0,18,443,1492,3122
13097,GA,Douglas County,.,426,2905,183,.,103,1911,3207,8753
13099,GA,Early County,0,.,80,.,0,.,138,131,368
13101,GA,Echols County,0,.,.,.,0,0,27,31,68
13103,GA,Effingham County,.,76,357,46,0,.,1326,1135,2956
13105,GA,Elbert County,.,26,115,13,0,.,281,206,647
13107,GA,Emanuel County,.,32,279,.,0,.,637,462,1421
13109,GA,Evans County,0,14,71,.,.,.,188,263,546
13111,GA,Fannin County,.,.,.,14,0,16,945,368,1353
13113,GA,Fayette County,.,573,1121,108,.,78,1876,1928,5700
13115,GA,Floyd County,.,289,289,106,.,31,1881,1590,4191
13117,GA,Forsyth County,.,1327,236,341,.,84,4546,3178,9729
13119,GA,Franklin County,0,55,34,.,0,.,373,241,713
13121,GA,Fulton County,42,4071,17331,984,21,649,13487,22972,59557
13123,GA,Gilmer County,0,17,.,23,0,.,801,359,1216
13125,GA,Glascock County,0,0,.,0,0,.,65,47,122
13127,GA,Glynn County,.,204,914,49,.,45,2324,2213,5771
13129,GA,Gordon County,.,89,29,53,0,.,936,628,1751
13131,GA,Grady County,.,.,119,20,.,.,313,439,904
13133,GA,Greene County,.,24,216,.,0,.,277,207,730
13135,GA,Gwinnett County,67,18804,11237,3608,48,582,14075,26784,75205
13137,GA,Habersham County,.,68,19,39,0,.,807,582,1525
13139,GA,Hall County,13,511,362,610,0,66,3901,3669,9132
13141,GA,Hancock County,0,.,182,.,0,.,55,215,456
