County FIPS Code,State Name,County Name,New,Active,Auto,Total Plan Selections
02013,AK,Aleutians East Borough,.,.,19,38
02016,AK,Aleutians West Census Area,18,.,.,38
02020,AK,Anchorage Municipality,3505,3744,2235,9484
02050,AK,Bethel Census Area,17,16,40,73
02060,AK,Bristol Bay Borough,.,16,.,34
02068,AK,Denali Borough,41,97,26,164
02070,AK,Dillingham Census Area,13,.,.,31
02090,AK,Fairbanks North Star Borough,872,1005,505,2382
02100,AK,Haines Borough,83,139,63,285
02105,AK,Hoonah-Angoon Census Area,28,62,27,117
02110,AK,Juneau City and Borough,386,444,252,1082
02122,AK,Kenai Peninsula Borough,895,1239,587,2721
02130,AK,Ketchikan Gateway Borough,140,287,126,553
02150,AK,Kodiak Island Borough,314,309,225,848
02164,AK,Lake and Peninsula Borough,.,16,.,34
02170,AK,Matanuska-Susitna Borough,1160,1353,705,3218
02180,AK,Nome Census Area,15,15,27,57
02185,AK,North Slope Borough,.,.,16,33
02188,AK,Northwest Arctic Borough,15,.,.,28
02195,AK,Petersburg Census Area,75,112,42,229
02198,AK,Prince of Wales-Hyder Census Area,39,45,28,112
02220,AK,Sitka City and Borough,141,227,104,472
02230,AK,Skagway Municipality,51,90,35,176
02240,AK,Southeast Fairbanks Census Area,68,74,32,174
02261,AK,Valdez-Cordova Census Area,133,193,135,461
02270,AK,Wade Hampton Census Area,.,.,.,16
02275,AK,Wrangell City and Borough,27,50,19,96
02282,AK,Yakutat City and Borough,.,.,.,17
02290,AK,Yukon-Koyukuk Census Area,18,12,25,55
01001,AL,Autauga County,807,731,358,1896
01003,AL,Baldwin County,4695,5164,1919,11778
01005,AL,Barbour County,313,340,148,801
01007,AL,Bibb County,280,230,119,629
01009,AL,Blount County,903,952,409,2264
01011,AL,Bullock County,160,110,64,334
01013,AL,Butler County,348,320,148,816
01015,AL,Calhoun County,1723,1588,655,3966
01017,AL,Chambers County,461,449,218,1128
01019,AL,Cherokee County,356,404,166,926
01021,AL,Chilton County,742,863,334,1939
01023,AL,Choctaw County,253,270,129,652
01025,AL,Clarke County,681,406,185,1272
01027,AL,Clay County,208,205,76,489
01029,AL,Cleburne County,218,283,109,610
01031,AL,Coffee County,616,616,256,1488
01033,AL,Colbert County,915,952,383,2250
01035,AL,Conecuh County,220,203,125,548
01037,AL,Coosa County,169,156,59,384
01039,AL,Covington County,611,605,236,1452
01041,AL,Crenshaw County,232,214,120,566
01043,AL,Cullman County,1327,1479,589,3395
01045,AL,Dale County,621,582,272,1475
01047,AL,Dallas County,809,544,331,1684
01049,AL,DeKalb County,1046,1485,516,3047
01051,AL,Elmore County,1159,1021,429,2609
01053,AL,Escambia County,549,418,235,1202
01055,AL,Etowah County,1846,1933,860,4639
01057,AL,Fayette County,244,227,106,577
01059,AL,Franklin County,410,445,205,1060
01061,AL,Geneva County,422,390,161,973
01063,AL,Greene County,167,85,71,323
01065,AL,Hale County,286,176,131,593
01067,AL,Henry County,291,298,133,722
01069,AL,Houston County,1766,1599,693,4058
01071,AL,Jackson County,773,899,405,2077
01073,AL,Jefferson County,12568,9647,4434,26649
01075,AL,Lamar County,176,245,86,507
01077,AL,Lauderdale County,1637,1739,630,4006
01079,AL,Lawrence County,552,674,242,1468
01081,AL,Lee County,2263,2309,883,5455
01083,AL,Limestone County,1355,1331,573,3259
01085,AL,Lowndes County,195,151,69,415
01087,AL,Macon County,333,233,143,709
01089,AL,Madison County,6742,5870,2746,15358
01091,AL,Marengo County,346,292,146,784
01093,AL,Marion County,465,472,215,1152
01095,AL,Marshall County,1499,1656,663,3818
01097,AL,Mobile County,8582,7154,3577,19313
01099,AL,Monroe County,440,414,181,1035
01101,AL,Montgomery County,4105,3151,1460,8716
01103,AL,Morgan County,2311,2188,788,5287
01105,AL,Perry County,162,111,71,344
01107,AL,Pickens County,278,242,113,633
01109,AL,Pike County,514,335,165,1014
01111,AL,Randolph County,329,363,151,843
01113,AL,Russell County,896,749,334,1979
01115,AL,St. Clair County,1305,1436,574,3315
01117,AL,Shelby County,3450,3685,1421,8556
01119,AL,Sumter County,193,192,90,475
01121,AL,Talladega County,1084,1011,476,2571
01123,AL,Tallapoosa County,643,686,267,1596
01125,AL,Tuscaloosa County,3045,2430,1130,6605
01127,AL,Walker County,1014,993,408,2415
01129,AL,Washington County,272,213,135,620
01131,AL,Wilcox County,250,155,96,501
01133,AL,Winston County,395,444,188,1027
05001,AR,Arkansas County,141,155,169,465
05003,AR,Ashley County,191,215,146,552
05005,AR,Baxter County,466,513,381,1360
05007,AR,Benton County,2386,2501,1727,6614
05009,AR,Boone County,332,436,282,1050
05011,AR,Bradley County,113,85,90,288
05013,AR,Calhoun County,59,24,46,129
05015,AR,Carroll County,286,420,326,1032
05017,AR,Chicot County,96,80,84,260
05019,AR,Clark County,166,195,115,476
05021,AR,Clay County,108,100,140,348
05023,AR,Cleburne County,313,316,250,879
05025,AR,Cleveland County,52,52,58,162
05027,AR,Columbia County,191,109,131,431
05029,AR,Conway County,203,188,158,549
05031,AR,Craighead County,947,825,648,2420
05033,AR,Crawford County,486,610,380,1476
05035,AR,Crittenden County,470,310,313,1093
05037,AR,Cross County,171,118,132,421
05039,AR,Dallas County,63,40,46,149
05041,AR,Desha County,101,94,108,303
05043,AR,Drew County,184,136,190,510
05045,AR,Faulkner County,1166,1085,797,3048
05047,AR,Franklin County,130,113,115,358
05049,AR,Fulton County,84,111,86,281
05051,AR,Garland County,1196,1109,997,3302
05053,AR,Grant County,154,147,163,464
05055,AR,Greene County,337,302,272,911
05057,AR,Hempstead County,161,132,117,410
05059,AR,Hot Spring County,315,282,259,856
05061,AR,Howard County,95,102,97,294
05063,AR,Independence County,312,425,357,1094
05065,AR,Izard County,106,114,87,307
05067,AR,Jackson County,115,103,137,355
05069,AR,Jefferson County,505,368,396,1269
05071,AR,Johnson County,168,163,162,493
05073,AR,Lafayette County,49,47,55,151
05075,AR,Lawrence County,147,127,152,426
05077,AR,Lee County,94,54,55,203
05079,AR,Lincoln County,93,67,102,262
05081,AR,Little River County,91,80,92,263
05083,AR,Logan County,171,139,157,467
05085,AR,Lonoke County,556,510,474,1540
05087,AR,Madison County,152,161,131,444
05089,AR,Marion County,139,227,100,466
05091,AR,Miller County,319,321,224,864
05093,AR,Mississippi County,352,240,262,854
05095,AR,Monroe County,81,63,54,198
05097,AR,Montgomery County,120,112,99,331
05099,AR,Nevada County,74,66,60,200
05101,AR,Newton County,65,95,85,245
05103,AR,Ouachita County,231,135,173,539
05105,AR,Perry County,80,102,75,257
05107,AR,Phillips County,170,103,126,399
05109,AR,Pike County,130,109,103,342
05111,AR,Poinsett County,210,172,196,578
05113,AR,Polk County,177,146,176,499
05115,AR,Pope County,513,504,365,1382
05117,AR,Prairie County,86,57,73,216
05119,AR,Pulaski County,3924,3057,2582,9563
05121,AR,Randolph County,132,174,132,438
05123,AR,St. Francis County,175,134,141,450
05125,AR,Saline County,1077,934,737,2748
05127,AR,Scott County,55,55,44,154
05129,AR,Searcy County,115,72,87,274
05131,AR,Sebastian County,1074,919,850,2843
05133,AR,Sevier County,114,112,88,314
05135,AR,Sharp County,172,188,153,513
05137,AR,Stone County,123,139,109,371
05139,AR,Union County,339,270,262,871
05141,AR,Van Buren County,144,186,140,470
05143,AR,Washington County,2596,2366,1565,6527
05145,AR,White County,742,647,554,1943
05147,AR,Woodruff County,50,39,83,172
05149,AR,Yell County,159,154,144,457
04001,AZ,Apache County,236,223,50,509
04003,AZ,Cochise County,1366,1681,159,3206
04005,AZ,Coconino County,1722,2066,409,4197
04007,AZ,Gila County,562,710,180,1452
04009,AZ,Graham County,342,535,28,905
04011,AZ,Greenlee County,.,50,.,108
04012,AZ,La Paz County,.,162,.,331
04013,AZ,Maricopa County,60458,55435,10424,126317
