County FIPS Code,State Name,County Name,< 100% of FPL,≥ 100% and ≤ 138% of FPL,> 138% and ≤ 150 % of FPL,> 150% and ≤ 200 % of FPL,> 200% and ≤ 250% of FPL,> 250% and ≤ 300% of FPL,> 300% and ≤ 400% of FPL,> 400% of FPL,Unknown,Total Plan Selections
02013,AK,Aleutians East Borough,.,.,.,.,.,.,0,.,.,38
02016,AK,Aleutians West Census Area,.,.,.,.,11,.,.,.,.,38
02020,AK,Anchorage Municipality,351,1094,621,2320,1857,1100,1203,252,686,9484
02050,AK,Bethel Census Area,.,.,.,17,18,.,.,.,.,73
02060,AK,Bristol Bay Borough,0,.,.,.,.,.,.,0,.,34
02068,AK,Denali Borough,.,16,14,34,33,27,23,.,15,164
02070,AK,Dillingham Census Area,.,.,.,.,.,.,.,.,.,31
02090,AK,Fairbanks North Star Borough,52,288,156,586,512,230,304,61,193,2382
02100,AK,Haines Borough,.,26,32,63,73,36,32,.,13,285
02105,AK,Hoonah-Angoon Census Area,.,16,.,39,22,11,18,0,.,117
02110,AK,Juneau City and Borough,36,94,65,287,181,153,155,31,80,1082
02122,AK,Kenai Peninsula Borough,59,274,215,673,560,400,337,48,155,2721
02130,AK,Ketchikan Gateway Borough,15,42,27,127,108,76,112,12,34,553
02150,AK,Kodiak Island Borough,29,229,60,216,124,77,64,16,33,848
02164,AK,Lake and Peninsula Borough,.,.,.,.,.,.,.,0,0,34
02170,AK,Matanuska-Susitna Borough,65,347,253,753,687,423,411,64,215,3218
02180,AK,Nome Census Area,.,.,.,14,14,.,.,0,.,57
02185,AK,North Slope Borough,.,.,0,.,.,.,.,0,.,33
02188,AK,Northwest Arctic Borough,.,.,.,.,.,.,.,0,.,28
02195,AK,Petersburg Census Area,.,12,13,55,57,25,40,.,19,229
02198,AK,Prince of Wales-Hyder Census Area,.,14,.,35,26,12,.,.,.,112
02220,AK,Sitka City and Borough,.,54,22,110,103,69,72,20,.,472
02230,AK,Skagway Municipality,.,21,14,45,43,17,27,.,.,176
02240,AK,Southeast Fairbanks Census Area,0,14,12,62,35,20,21,.,.,174
02261,AK,Valdez-Cordova Census Area,14,59,27,112,87,67,47,15,33,461
02270,AK,Wade Hampton Census Area,.,.,0,.,.,.,.,0,.,16
02275,AK,Wrangell City and Borough,.,.,.,17,22,14,19,.,.,96
02282,AK,Yakutat City and Borough,0,.,0,.,.,.,0,0,.,17
