County FIPS Code,State Name,County Name,Platinum,Gold,Silver ,Bronze,Catastrophic,Total Plan Selections
02013,AK,Aleutians East Borough,0,0,21,17,0,38
02016,AK,Aleutians West Census Area,0,.,20,17,.,38
02020,AK,Anchorage Municipality,0,334,5038,4055,57,9484
02050,AK,Bethel Census Area,0,.,21,51,.,73
02060,AK,Bristol Bay Borough,0,.,19,.,.,34
02068,AK,Denali Borough,0,.,75,84,.,164
02070,AK,Dillingham Census Area,0,.,.,21,0,31
02090,AK,Fairbanks North Star Borough,0,107,1323,935,17,2382
02100,AK,Haines Borough,0,.,122,159,.,285
02105,AK,Hoonah-Angoon Census Area,0,.,67,49,.,117
02110,AK,Juneau City and Borough,0,.,507,520,.,1082
02122,AK,Kenai Peninsula Borough,0,65,1483,1157,16,2721
02130,AK,Ketchikan Gateway Borough,0,.,224,319,.,553
02150,AK,Kodiak Island Borough,0,11,291,546,0,848
02164,AK,Lake and Peninsula Borough,0,0,17,17,0,34
02170,AK,Matanuska-Susitna Borough,0,113,1587,1506,12,3218
02180,AK,Nome Census Area,0,0,21,36,0,57
02185,AK,North Slope Borough,0,.,11,20,.,33
02188,AK,Northwest Arctic Borough,0,.,.,18,0,28
02195,AK,Petersburg Census Area,0,.,106,118,.,229
02198,AK,Prince of Wales-Hyder Census Area,0,.,59,49,.,112
02220,AK,Sitka City and Borough,0,.,215,247,.,472
02230,AK,Skagway Municipality,0,0,73,103,0,176
02240,AK,Southeast Fairbanks Census Area,0,.,81,91,.,174
02261,AK,Valdez-Cordova Census Area,0,16,215,218,12,461
02270,AK,Wade Hampton Census Area,0,0,.,.,0,16
02275,AK,Wrangell City and Borough,0,.,36,55,.,96
02282,AK,Yakutat City and Borough,0,.,.,13,0,17
02290,AK,Yukon-Koyukuk Census Area,0,.,19,32,.,55
01001,AL,Autauga County,0,97,1594,171,34,1896
01003,AL,Baldwin County,0,624,10108,928,118,11778
01005,AL,Barbour County,.,15,693,84,.,801
01007,AL,Bibb County,.,31,538,50,.,629
01009,AL,Blount County,19,92,1962,159,32,2264
01011,AL,Bullock County,0,.,293,26,.,334
01013,AL,Butler County,0,30,723,46,17,816
01015,AL,Calhoun County,0,155,3403,353,55,3966
01017,AL,Chambers County,0,26,989,92,21,1128
01019,AL,Cherokee County,.,33,827,56,.,926
01021,AL,Chilton County,0,81,1698,136,24,1939
01023,AL,Choctaw County,.,39,574,32,.,652
01025,AL,Clarke County,0,43,1121,92,16,1272
01027,AL,Clay County,.,26,411,45,.,489
01029,AL,Cleburne County,.,20,548,39,.,610
01031,AL,Coffee County,0,67,1262,138,21,1488
01033,AL,Colbert County,0,105,2009,111,25,2250
01035,AL,Conecuh County,.,28,475,37,.,548
01037,AL,Coosa County,0,.,341,27,.,384
01039,AL,Covington County,0,52,1268,108,24,1452
01041,AL,Crenshaw County,.,15,500,47,.,566
01043,AL,Cullman County,0,127,2981,255,32,3395
01045,AL,Dale County,0,49,1310,92,24,1475
01047,AL,Dallas County,0,43,1455,148,38,1684
01049,AL,DeKalb County,0,103,2704,220,20,3047
01051,AL,Elmore County,0,115,2247,195,52,2609
01053,AL,Escambia County,0,58,1023,97,24,1202
01055,AL,Etowah County,0,142,4143,312,42,4639
01057,AL,Fayette County,.,38,485,47,.,577
01059,AL,Franklin County,0,51,906,92,11,1060
01061,AL,Geneva County,0,31,836,89,17,973
01063,AL,Greene County,0,.,281,29,.,323
01065,AL,Hale County,.,12,513,61,.,593
01067,AL,Henry County,0,18,635,51,18,722
01069,AL,Houston County,0,153,3448,374,83,4058
01071,AL,Jackson County,0,75,1799,173,30,2077
01073,AL,Jefferson County,263,1183,21656,2877,670,26649
01075,AL,Lamar County,.,27,454,18,.,507
01077,AL,Lauderdale County,0,189,3484,275,58,4006
01079,AL,Lawrence County,0,72,1265,120,11,1468
01081,AL,Lee County,0,220,4591,536,108,5455
01083,AL,Limestone County,49,136,2728,291,55,3259
01085,AL,Lowndes County,.,16,363,28,.,415
01087,AL,Macon County,0,17,602,72,18,709
01089,AL,Madison County,245,593,12758,1332,430,15358
01091,AL,Marengo County,0,31,670,68,15,784
01093,AL,Marion County,0,30,1038,72,12,1152
01095,AL,Marshall County,0,139,3355,282,42,3818
01097,AL,Mobile County,0,1013,16554,1394,352,19313
01099,AL,Monroe County,0,34,934,52,15,1035
01101,AL,Montgomery County,0,322,7361,806,227,8716
01103,AL,Morgan County,85,195,4560,356,91,5287
01105,AL,Perry County,0,.,301,26,.,344
01107,AL,Pickens County,.,29,557,41,.,633
01109,AL,Pike County,0,40,863,92,19,1014
01111,AL,Randolph County,.,17,769,47,.,843
01113,AL,Russell County,0,88,1696,157,38,1979
01115,AL,St. Clair County,31,130,2797,306,51,3315
01117,AL,Shelby County,85,488,7088,738,157,8556
01119,AL,Sumter County,0,.,422,36,.,475
01121,AL,Talladega County,0,105,2206,214,46,2571
01123,AL,Tallapoosa County,0,50,1383,134,29,1596
01125,AL,Tuscaloosa County,0,314,5647,513,131,6605
01127,AL,Walker County,0,107,2111,163,34,2415
01129,AL,Washington County,.,31,548,35,.,620
01131,AL,Wilcox County,0,11,443,33,14,501
01133,AL,Winston County,0,48,913,55,11,1027
05001,AR,Arkansas County,0,.,293,105,.,465
05003,AR,Ashley County,0,.,404,90,.,552
05005,AR,Baxter County,0,.,995,246,.,1360
05007,AR,Benton County,0,661,4398,1503,52,6614
05009,AR,Boone County,0,.,751,238,.,1050
05011,AR,Bradley County,0,19,218,51,0,288
05013,AR,Calhoun County,0,.,95,28,.,129
05015,AR,Carroll County,0,.,721,221,.,1032
05017,AR,Chicot County,0,21,184,55,0,260
05019,AR,Clark County,0,.,321,96,.,476
05021,AR,Clay County,0,.,239,76,.,348
05023,AR,Cleburne County,0,.,612,177,.,879
05025,AR,Cleveland County,0,.,129,21,.,162
05027,AR,Columbia County,0,.,324,62,.,431
05029,AR,Conway County,0,.,367,117,.,549
