,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,auto_renew,active_renew,tps
0,12109,FL,St. Johns County,1259.0,1093.0,1566.0,1684.0,2354.0,2963.0,41.0,0.0,1180.0,9780.0,4565.0,6395.0,0.0,371.0,272.0,219.0,0.0,121.0,5954.0,4002.0,213.0,4019.0,2298.0,1643.0,994.0,996.0,198.0,599.0,1128.0,594.0,7209.0,1967.0,62.0,5875.0,1302.0,3783.0,10960.0
1,10001,DE,Kent County,413.0,284.0,529.0,530.0,771.0,872.0,18.0,0.0,439.0,2978.0,1750.0,1667.0,0.0,172.0,425.0,89.0,0.0,45.0,1577.0,1097.0,44.0,542.0,995.0,658.0,476.0,437.0,93.0,172.0,107.0,528.0,2136.0,629.0,17.0,1853.0,909.0,655.0,3417.0
2,10003,DE,New Castle County,1964.0,1275.0,2487.0,2333.0,3288.0,3494.0,126.0,0.0,2787.0,12180.0,8449.0,6518.0,0.0,1173.0,2054.0,848.0,0.0,154.0,6925.0,3800.0,286.0,2085.0,3911.0,2836.0,1969.0,1931.0,603.0,1346.0,679.0,2406.0,8835.0,2943.0,104.0,7453.0,4174.0,3340.0,14967.0
3,10005,DE,Sussex County,794.0,436.0,805.0,929.0,1453.0,2204.0,30.0,0.0,934.0,5717.0,3537.0,3114.0,0.0,139.0,312.0,112.0,0.0,57.0,3940.0,2073.0,63.0,936.0,1857.0,1318.0,933.0,896.0,182.0,466.0,257.0,1144.0,4198.0,1032.0,20.0,3408.0,1712.0,1531.0,6651.0
4,12001,FL,Alachua County,726.0,2161.0,2734.0,1867.0,2250.0,2940.0,41.0,0.0,1247.0,11472.0,4228.0,8491.0,0.0,670.0,1122.0,418.0,0.0,119.0,5094.0,5280.0,351.0,6210.0,2576.0,1330.0,837.0,711.0,181.0,523.0,1188.0,429.0,9169.0,1848.0,85.0,6443.0,1898.0,4378.0,12719.0
5,12003,FL,Baker County,51.0,85.0,115.0,123.0,216.0,247.0,0.0,0.0,37.0,800.0,257.0,580.0,0.0,12.0,59.0,0.0,0.0,0.0,426.0,329.0,0.0,480.0,171.0,70.0,44.0,39.0,0.0,18.0,79.0,0.0,614.0,119.0,0.0,453.0,106.0,278.0,837.0
6,12005,FL,Bay County,602.0,971.0,1522.0,1434.0,2187.0,2286.0,0.0,0.0,880.0,8150.0,2923.0,6107.0,0.0,411.0,500.0,164.0,0.0,103.0,4188.0,3632.0,178.0,4219.0,2017.0,1019.0,611.0,474.0,116.0,396.0,1096.0,343.0,6519.0,1033.0,39.0,5278.0,1282.0,2470.0,9030.0
7,12007,FL,Bradford County,0.0,90.0,132.0,152.0,250.0,299.0,0.0,0.0,70.0,920.0,339.0,651.0,0.0,16.0,85.0,0.0,0.0,0.0,404.0,467.0,17.0,473.0,218.0,105.0,56.0,72.0,13.0,36.0,99.0,0.0,709.0,136.0,0.0,546.0,142.0,302.0,990.0
8,12009,FL,Brevard County,1966.0,3098.0,4020.0,4509.0,7144.0,9490.0,0.0,0.0,2584.0,27780.0,10883.0,19481.0,45.0,1191.0,1627.0,1114.0,14.0,308.0,14540.0,11525.0,604.0,13384.0,6570.0,3631.0,2202.0,2198.0,411.0,1364.0,2165.0,1094.0,21515.0,5403.0,187.0,16226.0,2564.0,11574.0,30364.0
9,12011,FL,Broward County,11931.0,30842.0,33707.0,40414.0,53761.0,48327.0,0.0,0.0,18856.0,203354.0,70370.0,151840.0,105.0,6943.0,40660.0,10915.0,206.0,989.0,46885.0,115507.0,5236.0,124985.0,42206.0,20043.0,10090.0,7838.0,2716.0,9096.0,4240.0,11662.0,162397.0,43512.0,399.0,113312.0,43927.0,64971.0,222210.0
10,12013,FL,Calhoun County,0.0,40.0,48.0,73.0,116.0,137.0,0.0,0.0,21.0,418.0,129.0,310.0,0.0,0.0,13.0,0.0,0.0,0.0,214.0,197.0,14.0,217.0,108.0,49.0,29.0,0.0,0.0,0.0,28.0,0.0,330.0,59.0,0.0,238.0,74.0,127.0,439.0
11,12015,FL,Charlotte County,475.0,857.0,1000.0,1168.0,2350.0,3655.0,43.0,0.0,737.0,8811.0,3408.0,6140.0,0.0,244.0,334.0,313.0,0.0,67.0,5073.0,3495.0,152.0,3862.0,2268.0,1271.0,802.0,701.0,127.0,365.0,746.0,388.0,6770.0,1577.0,67.0,4700.0,1249.0,3599.0,9548.0
12,12017,FL,Citrus County,404.0,705.0,786.0,984.0,2026.0,3170.0,26.0,0.0,520.0,7581.0,2379.0,5722.0,0.0,148.0,69.0,123.0,0.0,51.0,3715.0,3980.0,107.0,3869.0,1894.0,925.0,533.0,440.0,78.0,255.0,659.0,248.0,6047.0,1123.0,24.0,3961.0,1038.0,3102.0,8101.0
13,12019,FL,Clay County,768.0,996.0,1286.0,1507.0,2039.0,2084.0,30.0,0.0,701.0,8009.0,3107.0,5603.0,0.0,337.0,560.0,275.0,0.0,103.0,3751.0,3659.0,164.0,3934.0,1963.0,1050.0,628.0,547.0,101.0,323.0,795.0,378.0,6049.0,1445.0,43.0,5243.0,958.0,2509.0,8710.0
14,12021,FL,Collier County,1753.0,2636.0,2722.0,4046.0,6018.0,5929.0,0.0,0.0,1883.0,21401.0,7476.0,15808.0,0.0,449.0,1539.0,2916.0,0.0,103.0,8127.0,10122.0,424.0,10462.0,5120.0,2700.0,1593.0,1546.0,326.0,1113.0,1783.0,713.0,17181.0,3540.0,67.0,13852.0,2541.0,6891.0,23284.0
15,12023,FL,Columbia County,0.0,279.0,387.0,436.0,635.0,827.0,0.0,0.0,188.0,2573.0,929.0,1832.0,0.0,78.0,162.0,53.0,0.0,0.0,1076.0,1370.0,53.0,1394.0,575.0,275.0,181.0,166.0,21.0,96.0,224.0,114.0,1996.0,411.0,16.0,1546.0,341.0,874.0,2761.0
16,12027,FL,DeSoto County,0.0,121.0,114.0,169.0,311.0,383.0,0.0,0.0,46.0,1118.0,334.0,830.0,0.0,22.0,59.0,199.0,0.0,0.0,442.0,438.0,0.0,604.0,232.0,152.0,59.0,64.0,0.0,31.0,59.0,0.0,881.0,182.0,0.0,675.0,122.0,367.0,1164.0
17,12029,FL,Dixie County,17.0,35.0,41.0,66.0,136.0,211.0,0.0,0.0,18.0,488.0,141.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,224.0,0.0,252.0,126.0,52.0,30.0,28.0,0.0,0.0,22.0,0.0,392.0,73.0,0.0,322.0,55.0,129.0,506.0
18,12031,FL,Duval County,3135.0,6792.0,10246.0,9896.0,12638.0,12097.0,0.0,0.0,5528.0,49505.0,21994.0,33039.0,76.0,2641.0,9706.0,1954.0,45.0,487.0,15807.0,24317.0,1417.0,29379.0,10382.0,5322.0,2980.0,2371.0,717.0,2465.0,2964.0,2003.0,35571.0,14362.0,133.0,31298.0,9097.0,14638.0,55033.0
