,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_139,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps
0,02020,AK,Anchorage Municipality,1117.0,828.0,1951.0,1502.0,1770.0,2194.0,122.0,0.0,1426.0,8058.0,5263.0,4221.0,297.0,900.0,232.0,602.0,47.0,258.0,4474.0,2674.0,351.0,1094.0,621.0,2320.0,1857.0,1100.0,1203.0,252.0,686.0,0.0,334.0,5038.0,4055.0,57.0,3505.0,3744.0,2235.0,9484.0
1,02068,AK,Denali Borough,11.0,0.0,39.0,25.0,29.0,51.0,0.0,0.0,16.0,148.0,95.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,36.0,0.0,16.0,14.0,34.0,33.0,27.0,23.0,0.0,15.0,0.0,0.0,75.0,84.0,0.0,41.0,97.0,26.0,164.0
2,02090,AK,Fairbanks North Star Borough,315.0,199.0,537.0,379.0,411.0,529.0,12.0,0.0,351.0,2031.0,1343.0,1039.0,30.0,119.0,31.0,88.0,13.0,30.0,1531.0,540.0,52.0,288.0,156.0,586.0,512.0,230.0,304.0,61.0,193.0,0.0,107.0,1323.0,935.0,17.0,872.0,1005.0,505.0,2382.0
3,02100,AK,Haines Borough,31.0,16.0,57.0,41.0,61.0,79.0,0.0,0.0,35.0,250.0,191.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,46.0,0.0,26.0,32.0,63.0,73.0,36.0,32.0,0.0,13.0,0.0,0.0,122.0,159.0,0.0,83.0,139.0,63.0,285.0
4,02110,AK,Juneau City and Borough,146.0,84.0,309.0,178.0,178.0,181.0,0.0,0.0,166.0,916.0,690.0,392.0,32.0,66.0,0.0,45.0,0.0,31.0,639.0,254.0,36.0,94.0,65.0,287.0,181.0,153.0,155.0,31.0,80.0,0.0,0.0,507.0,520.0,0.0,386.0,444.0,252.0,1082.0
5,02122,AK,Kenai Peninsula Borough,254.0,168.0,478.0,375.0,497.0,937.0,12.0,0.0,317.0,2404.0,1512.0,1209.0,89.0,43.0,0.0,58.0,0.0,53.0,1786.0,682.0,59.0,274.0,215.0,673.0,560.0,400.0,337.0,48.0,155.0,0.0,65.0,1483.0,1157.0,16.0,895.0,1239.0,587.0,2721.0
6,02130,AK,Ketchikan Gateway Borough,74.0,26.0,86.0,88.0,115.0,159.0,0.0,0.0,81.0,472.0,362.0,191.0,28.0,38.0,0.0,12.0,0.0,16.0,332.0,124.0,15.0,42.0,27.0,127.0,108.0,76.0,112.0,12.0,34.0,0.0,0.0,224.0,319.0,0.0,140.0,287.0,126.0,553.0
7,02150,AK,Kodiak Island Borough,111.0,80.0,98.0,126.0,166.0,240.0,27.0,0.0,79.0,769.0,613.0,235.0,17.0,407.0,0.0,22.0,0.0,0.0,261.0,132.0,29.0,229.0,60.0,216.0,124.0,77.0,64.0,16.0,33.0,0.0,11.0,291.0,546.0,0.0,314.0,309.0,225.0,848.0
8,02170,AK,Matanuska-Susitna Borough,474.0,215.0,495.0,509.0,623.0,885.0,17.0,0.0,417.0,2801.0,1942.0,1276.0,54.0,67.0,0.0,92.0,0.0,63.0,2118.0,802.0,65.0,347.0,253.0,753.0,687.0,423.0,411.0,64.0,215.0,0.0,113.0,1587.0,1506.0,12.0,1160.0,1353.0,705.0,3218.0
9,02195,AK,Petersburg Census Area,43.0,16.0,39.0,33.0,41.0,57.0,0.0,0.0,32.0,197.0,137.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,66.0,0.0,12.0,13.0,55.0,57.0,25.0,40.0,0.0,19.0,0.0,0.0,106.0,118.0,0.0,75.0,112.0,42.0,229.0
