,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
0,12109,FL,St. Johns County,0.1149,0.0997,0.1429,0.1536,0.2148,0.2703,0.0037,0.0,0.1077,0.8923,0.4165,0.5835,0.0,0.0339,0.0248,0.02,0.0,0.011,0.5432,0.3651,0.0194,0.3667,0.2097,0.1499,0.0907,0.0909,0.0181,0.0547,0.1,0.05,0.66,0.18,0.01,0.536,0.3452,0.1188,10960.0,2015
1,10001,DE,Kent County,0.1209,0.0831,0.1548,0.1551,0.2256,0.2552,0.0053,0.0,0.1285,0.8715,0.5121,0.4879,0.0,0.0503,0.1244,0.026,0.0,0.0132,0.4615,0.321,0.0129,0.1586,0.2912,0.1926,0.1393,0.1279,0.0272,0.0503,0.03,0.15,0.63,0.18,0.0,0.5423,0.1917,0.266,3417.0,2015
2,10003,DE,New Castle County,0.1312,0.0852,0.1662,0.1559,0.2197,0.2334,0.0084,0.0,0.1862,0.8138,0.5645,0.4355,0.0,0.0784,0.1372,0.0567,0.0,0.0103,0.4627,0.2539,0.0191,0.1393,0.2613,0.1895,0.1316,0.129,0.0403,0.0899,0.05,0.16,0.59,0.2,0.01,0.498,0.2232,0.2789,14967.0,2015
3,10005,DE,Sussex County,0.1194,0.0656,0.121,0.1397,0.2185,0.3314,0.0045,0.0,0.1404,0.8596,0.5318,0.4682,0.0,0.0209,0.0469,0.0168,0.0,0.0086,0.5924,0.3117,0.0095,0.1407,0.2792,0.1982,0.1403,0.1347,0.0274,0.0701,0.04,0.17,0.63,0.16,0.0,0.5124,0.2302,0.2574,6651.0,2015
4,12001,FL,Alachua County,0.0571,0.1699,0.215,0.1468,0.1769,0.2312,0.0032,0.0,0.098,0.902,0.3324,0.6676,0.0,0.0527,0.0882,0.0329,0.0,0.0094,0.4005,0.4151,0.0276,0.4882,0.2025,0.1046,0.0658,0.0559,0.0142,0.0411,0.09,0.03,0.72,0.15,0.01,0.5066,0.3442,0.1492,12719.0,2015
5,12003,FL,Baker County,0.0609,0.1016,0.1374,0.147,0.2581,0.2951,0.0,0.0,0.0442,0.9558,0.307,0.693,0.0,0.0143,0.0705,0.0,0.0,0.0,0.509,0.3931,0.0,0.5735,0.2043,0.0836,0.0526,0.0466,0.0,0.0215,0.09,0.0,0.73,0.14,0.0,0.5412,0.3321,0.1266,837.0,2015
6,12005,FL,Bay County,0.0667,0.1075,0.1685,0.1588,0.2422,0.2532,0.0,0.0,0.0975,0.9025,0.3237,0.6763,0.0,0.0455,0.0554,0.0182,0.0,0.0114,0.4638,0.4022,0.0197,0.4672,0.2234,0.1128,0.0677,0.0525,0.0128,0.0439,0.12,0.04,0.72,0.11,0.0,0.5845,0.2735,0.142,9030.0,2015
7,12007,FL,Bradford County,0.0,0.0909,0.1333,0.1535,0.2525,0.302,0.0,0.0,0.0707,0.9293,0.3424,0.6576,0.0,0.0162,0.0859,0.0,0.0,0.0,0.4081,0.4717,0.0172,0.4778,0.2202,0.1061,0.0566,0.0727,0.0131,0.0364,0.1,0.0,0.72,0.14,0.0,0.5515,0.3051,0.1434,990.0,2015
8,12009,FL,Brevard County,0.0647,0.102,0.1324,0.1485,0.2353,0.3125,0.0,0.0,0.0851,0.9149,0.3584,0.6416,0.0015,0.0392,0.0536,0.0367,0.0005,0.0101,0.4789,0.3796,0.0199,0.4408,0.2164,0.1196,0.0725,0.0724,0.0135,0.0449,0.07,0.04,0.71,0.18,0.01,0.5344,0.3812,0.0844,30364.0,2015
9,12011,FL,Broward County,0.0537,0.1388,0.1517,0.1819,0.2419,0.2175,0.0,0.0,0.0849,0.9151,0.3167,0.6833,0.0005,0.0312,0.183,0.0491,0.0009,0.0045,0.211,0.5198,0.0236,0.5625,0.1899,0.0902,0.0454,0.0353,0.0122,0.0409,0.02,0.05,0.73,0.2,0.0,0.5099,0.2924,0.1977,222210.0,2015
10,12013,FL,Calhoun County,0.0,0.0911,0.1093,0.1663,0.2642,0.3121,0.0,0.0,0.0478,0.9522,0.2938,0.7062,0.0,0.0,0.0296,0.0,0.0,0.0,0.4875,0.4487,0.0319,0.4943,0.246,0.1116,0.0661,0.0,0.0,0.0,0.06,0.0,0.75,0.13,0.0,0.5421,0.2893,0.1686,439.0,2015
11,12015,FL,Charlotte County,0.0497,0.0898,0.1047,0.1223,0.2461,0.3828,0.0045,0.0,0.0772,0.9228,0.3569,0.6431,0.0,0.0256,0.035,0.0328,0.0,0.007,0.5313,0.366,0.0159,0.4045,0.2375,0.1331,0.084,0.0734,0.0133,0.0382,0.08,0.04,0.71,0.17,0.01,0.4922,0.3769,0.1308,9548.0,2015
12,12017,FL,Citrus County,0.0499,0.087,0.097,0.1215,0.2501,0.3913,0.0032,0.0,0.0642,0.9358,0.2937,0.7063,0.0,0.0183,0.0085,0.0152,0.0,0.0063,0.4586,0.4913,0.0132,0.4776,0.2338,0.1142,0.0658,0.0543,0.0096,0.0315,0.08,0.03,0.75,0.14,0.0,0.489,0.3829,0.1281,8101.0,2015
13,12019,FL,Clay County,0.0882,0.1144,0.1476,0.173,0.2341,0.2393,0.0034,0.0,0.0805,0.9195,0.3567,0.6433,0.0,0.0387,0.0643,0.0316,0.0,0.0118,0.4307,0.4201,0.0188,0.4517,0.2254,0.1206,0.0721,0.0628,0.0116,0.0371,0.09,0.04,0.69,0.17,0.0,0.602,0.2881,0.11,8710.0,2015
14,12021,FL,Collier County,0.0753,0.1132,0.1169,0.1738,0.2585,0.2546,0.0,0.0,0.0809,0.9191,0.3211,0.6789,0.0,0.0193,0.0661,0.1252,0.0,0.0044,0.349,0.4347,0.0182,0.4493,0.2199,0.116,0.0684,0.0664,0.014,0.0478,0.08,0.03,0.74,0.15,0.0,0.5949,0.296,0.1091,23284.0,2015
